DailyQCReport_S0205_20250115_203940


QC Status,PASSED,Date,"January 15, 2025 - 20:39 PM"
Cytometer Name,Aurora CS,User,CytekService
Serial Number,S0205,Nozzle Size,100
Configuration,5-Laser-V16-B14-R8-YG10-UV16,Nozzle Serial Number,K38104
Software,SpectroFloCS 1.4.0,Sheath Pressure,17.3

QC Beads
Lot ID,2006,Expiration date,"December 31, 2026"


Laser,Detector (nm),Gain,Gain Change,% Gain Change,Median (x1000), % rCV,Sensitivity
Detector Settings
Blue,FSC,422,0,0,1991.877,2.504689,2627.549
Violet,SSC,239,5,2.136752,2009.087,10.70882,12169.68
Blue,SSC-B,361,0,0,2003.012,3.466148,15458.24
UV,UV1 (373),814,18,2.261307,310.5395,4.148107,78.19023
UV,UV2 (388),397,6,1.534527,2029.735,3.465154,642.5317
UV,UV3 (428),272,1,0.3690037,1542.775,3.099781,2064.017
UV,UV4 (443),291,2,0.6920415,1249.394,3.231064,2805.913
UV,UV5 (458),288,2,0.6993007,1223.51,3.075103,3585.42
UV,UV6 (473),369,2,0.5449591,1542.438,2.87634,6394.656
UV,UV7 (514),528,2,0.3802281,1701.448,2.732966,9156.01
UV,UV8 (542),478,3,0.631579,1049.443,2.693608,4913.015
UV,UV9 (582),632,8,1.282051,1370.646,2.694654,5136.061
UV,UV10 (613),355,-2,-0.5602241,1238.788,2.661528,6277.793
UV,UV11 (664),429,-5,-1.152074,587.5325,2.645092,2281.033
UV,UV12 (692),382,3,0.7915568,492.2975,2.631122,1313.223
UV,UV13 (720),570,7,1.243339,547.362,2.636879,1334.945
UV,UV14 (750),924,17,1.874311,656.0365,2.719522,1776.826
UV,UV15 (780),732,17,2.377622,607.0265,2.743367,1157.484
UV,UV16 (812),1404,102,7.834102,876.887,3.479924,845.3647
Violet,V1 (428),258,1,0.3891051,600.019,3.014098,1513.574
Violet,V2 (443),338,3,0.8955224,1280.968,2.962813,3474.036
Violet,V3 (458),322,3,0.9404388,1387.592,2.97672,4397.441
Violet,V4 (473),209,2,0.9661835,1239.508,2.897809,4024.594
Violet,V5 (508),226,1,0.4444444,1073.689,2.854078,3793.404
Violet,V6 (525),221,1,0.4545454,765.4275,2.826235,3178.351
Violet,V7 (542),294,3,1.030928,901.02,2.738637,3400.967
Violet,V8 (581),383,2,0.5249344,775.4875,2.562889,1855.317
Violet,V9 (598),338,-1,-0.2949852,780.4675,2.428638,1296.424
Violet,V10 (615),342,-1,-0.2915452,1178.483,2.404614,1174.129
Violet,V11 (664),253,-1,-0.3937008,522.2205,2.435169,534.0563
Violet,V12 (692),245,0,0,458.32,2.361658,277.8941
Violet,V13 (720),225,3,1.351351,524.694,2.218905,188.4975
Violet,V14 (750),268,4,1.515152,466.113,2.333013,142.5163
Violet,V15 (780),416,11,2.716049,501.906,2.463265,92.08251
Violet,V16 (812),520,34,6.995885,571.5775,3.313519,39.05677
Blue,B1 (508),1356,10,0.742942,143.129,2.612819,495.281
Blue,B2 (525),803,-2,-0.2484472,179.6305,2.194904,561.3872
Blue,B3 (542),705,0,0,547.593,2.051362,1437.185
Blue,B4 (581),614,5,0.821018,753.2125,1.847231,1663.344
Blue,B5 (598),559,4,0.7207208,889.751,1.792785,1699.073
Blue,B6 (615),434,2,0.462963,946.794,1.846504,1194.101
Blue,B7 (661),865,-12,-1.368301,583.7285,1.792248,698.3301
Blue,B8 (679),606,-12,-1.941748,487.7615,2.081877,692.0648
Blue,B9 (697),889,1,0.1126126,604.805,2.226487,570.4771
Blue,B10 (717),712,3,0.4231312,418.385,2.3739,306.8277
Blue,B11 (738),432,5,1.17096,277.274,2.443427,183.3798
Blue,B12 (760),475,4,0.8492569,276.6795,2.443256,149.0165
Blue,B13 (783),586,12,2.090592,254.948,2.570458,83.18569
Blue,B14 (812),1258,85,7.246377,549.2865,2.760463,89.97799
YellowGreen,YG1 (577),550,4,0.7326007,930.0125,1.897272,1617.09
YellowGreen,YG2 (598),571,2,0.3514939,1823.608,1.962371,2097.608
YellowGreen,YG3 (615),355,0,0,2701.347,2.021634,2416.721
YellowGreen,YG4 (661),701,9,1.300578,1546.924,1.895613,1825.786
YellowGreen,YG5 (679),516,-1,-0.1934236,1362.918,2.105997,1615.083
YellowGreen,YG6 (697),691,5,0.7288629,1513.629,1.997993,844.5571
YellowGreen,YG7 (720),475,9,1.931331,2107.303,2.083769,945.4265
YellowGreen,YG8 (750),467,6,1.301518,1087.474,2.173164,514.8108
YellowGreen,YG9 (780),557,12,2.201835,1040.282,2.184242,292.7771
YellowGreen,YG10 (812),901,55,6.501182,1212.886,2.501328,134.7816
Red,R1 (661),198,-5,-2.463054,415.713,1.966818,1538.814
Red,R2 (679),207,-3,-1.428571,1092.469,2.216337,3073.835
Red,R3 (697),415,1,0.2415459,2077.089,1.785385,2660.853
Red,R4 (717),363,1,0.2762431,1972.119,1.803752,1744.513
Red,R5 (738),221,3,1.376147,1649.602,1.735764,1374.434
Red,R6 (760),244,4,1.666667,1454.726,1.671498,1093.795
Red,R7 (783),517,11,2.173913,1916.162,1.745655,811.1683
Red,R8 (812),405,27,7.142858,2116.061,2.034964,312.1974


Laser Settings
Laser, Laser Delay, Area Scaling Factor
UV,-59.15,0.83
Red,-30.13,0.80
Blue,0.00,0.93
Violet,30.00,1.00
YellowGreen,58.63,0.93
FSC Area Scaling Factor,0.92,Window Extension,3
Temperature,26.1


Specifications
FSC,% rCV,<  6 (Recommended)
SSC-B,% rCV,<  8 (Recommended)
UV3,% rCV,<  6 (Recommended)
R3,% rCV,<  6 (Recommended)
B3,% rCV,<  6 (Recommended)
V3,% rCV,<  6 (Recommended)
YG3,% rCV,<  6 (Recommended)
All Channels,% Gain Change,<  100 (Recommended)

