DailyQCReport_S0205_20250115_190953


QC Status,PASSED,Date,"January 15, 2025 - 19:09 PM"
Cytometer Name,Aurora CS,User,CytekService
Serial Number,S0205,Nozzle Size,70
Configuration,5-Laser-V16-B14-R8-YG10-UV16,Nozzle Serial Number,K38038
Software,SpectroFloCS 1.4.0,Sheath Pressure,64.1

QC Beads
Lot ID,2006,Expiration date,"December 31, 2026"


Laser,Detector (nm),Gain,Gain Change,% Gain Change,Median (x1000), % rCV,Sensitivity
Detector Settings
Blue,FSC,422,0,0,1977.179,2.387551,2634.658
Violet,SSC,240,0,0,2000.957,10.94833,11845.24
Blue,SSC-B,371,0,0,2003.725,3.50308,14630.14
UV,UV1 (373),816,-6,-0.729927,307.622,3.875044,75.35535
UV,UV2 (388),399,-5,-1.237624,2038.133,3.151833,617.2247
UV,UV3 (428),274,-5,-1.792115,1546.084,2.719967,2215.679
UV,UV4 (443),294,-2,-0.6756757,1252.948,2.779285,2901.848
UV,UV5 (458),290,-5,-1.694915,1225.758,2.602729,3580.866
UV,UV6 (473),373,-7,-1.842105,1544.226,2.385453,5706.448
UV,UV7 (514),535,-14,-2.550091,1701.873,2.215299,8873.317
UV,UV8 (542),485,-7,-1.422764,1043.523,2.20359,4712.305
UV,UV9 (582),642,-8,-1.230769,1360.751,2.224518,4941.435
UV,UV10 (613),366,-3,-0.8130081,1259.869,2.145209,6166.509
UV,UV11 (664),447,-20,-4.282655,590.1855,2.222929,2357.637
UV,UV12 (692),392,-7,-1.754386,498.698,2.210619,1330.035
UV,UV13 (720),565,-10,-1.73913,547.187,2.244604,1336.737
UV,UV14 (750),912,-17,-1.829925,655.049,2.364007,1813.374
UV,UV15 (780),706,-1,-0.1414427,610.677,2.331315,1164.985
UV,UV16 (812),1150,98,9.315589,862.7105,3.165581,858.1434
Violet,V1 (428),262,1,0.3831418,605.172,2.10824,1580.242
Violet,V2 (443),340,-2,-0.5847954,1266.63,2.018067,3519.235
Violet,V3 (458),326,-1,-0.3058104,1386.008,2.029638,3962.13
Violet,V4 (473),211,-1,-0.4716981,1243.039,1.995579,4341.029
Violet,V5 (508),230,-1,-0.4329004,1065.167,1.985068,3805.605
Violet,V6 (525),223,-2,-0.8888889,765.267,1.998696,3238.989
Violet,V7 (542),296,-4,-1.333333,891.175,1.972556,3188.432
Violet,V8 (581),392,-3,-0.7594936,773.8695,2.02911,1837.861
Violet,V9 (598),349,-5,-1.412429,779.7125,2.013662,1218.317
Violet,V10 (615),350,-6,-1.685393,1180.041,2.045755,1161.878
Violet,V11 (664),265,-11,-3.985507,524.2155,2.110603,490.8598
Violet,V12 (692),252,-9,-3.448276,460.756,2.071693,300.2916
Violet,V13 (720),224,-6,-2.608696,524.5685,1.921443,193.0006
Violet,V14 (750),265,-7,-2.573529,466.3215,2.002497,133.9252
Violet,V15 (780),395,-5,-1.25,498.0945,2.080919,92.88474
Violet,V16 (812),410,42,11.41304,573.763,2.885263,41.09133
Blue,B1 (508),1421,14,0.9950249,146.893,2.485838,485.6988
Blue,B2 (525),827,-6,-0.7202881,180.419,2.017519,545.9892
Blue,B3 (542),721,-13,-1.771117,545.956,1.832382,1383.224
Blue,B4 (581),631,-15,-2.321981,735.5635,1.588989,1608.55
Blue,B5 (598),576,-5,-0.8605852,886.0395,1.547945,1594.288
Blue,B6 (615),446,-9,-1.978022,939.1135,1.596127,1217.693
Blue,B7 (661),897,-37,-3.961456,570.9845,1.591139,680.4099
Blue,B8 (679),637,-18,-2.748091,491.404,1.948236,689.7725
Blue,B9 (697),911,-27,-2.878465,607.555,2.14308,562.2346
Blue,B10 (717),717,-13,-1.780822,418.4375,2.335721,296.2036
Blue,B11 (738),430,-9,-2.050114,278.852,2.401539,185.597
Blue,B12 (760),469,-9,-1.882845,275.295,2.379387,150.2825
Blue,B13 (783),562,0,0,255.1115,2.520676,79.67675
Blue,B14 (812),1009,101,11.12335,549.921,2.7186,90.09045
YellowGreen,YG1 (577),558,-16,-2.787457,922.456,1.721809,1564.054
YellowGreen,YG2 (598),582,-7,-1.188455,1828.709,1.776562,2079.593
YellowGreen,YG3 (615),360,-8,-2.173913,2696.863,1.787411,2505.865
YellowGreen,YG4 (661),722,-13,-1.768708,1567.37,1.673368,1901.664
YellowGreen,YG5 (679),533,-19,-3.442029,1366.099,1.89677,1539.398
YellowGreen,YG6 (697),690,-23,-3.225806,1511.547,1.73639,787.4785
YellowGreen,YG7 (720),467,-10,-2.096436,2112.104,1.791778,911.9447
YellowGreen,YG8 (750),456,-11,-2.35546,1088.5,1.925485,477.6993
YellowGreen,YG9 (780),533,-4,-0.7448789,1044.636,1.897111,302.6625
YellowGreen,YG10 (812),732,56,8.284023,1205.823,2.241737,134.0379
Red,R1 (661),222,-23,-9.387755,412.672,1.723087,1555.18
Red,R2 (679),228,-17,-6.938776,1099.714,1.960775,3171.823
Red,R3 (697),424,-25,-5.567929,2041.915,1.553339,2636.456
Red,R4 (717),367,-12,-3.166227,1986.037,1.580644,1884.795
Red,R5 (738),221,-7,-3.070175,1645.757,1.487254,1366.323
Red,R6 (760),242,-6,-2.419355,1446.383,1.421165,1083.862
Red,R7 (783),493,-2,-0.4040404,1911.639,1.515132,790.4994
Red,R8 (812),314,33,11.74377,2105.817,2.210752,329.1111


Laser Settings
Laser, Laser Delay, Area Scaling Factor
UV,-58.35,0.84
Red,-29.73,0.81
Blue,0.00,0.94
Violet,29.60,1.01
YellowGreen,57.83,0.94
FSC Area Scaling Factor,0.93,Window Extension,3
Temperature,26.3


Specifications
FSC,% rCV,<  6 (Recommended)
SSC-B,% rCV,<  8 (Recommended)
UV3,% rCV,<  6 (Recommended)
R3,% rCV,<  6 (Recommended)
B3,% rCV,<  6 (Recommended)
V3,% rCV,<  6 (Recommended)
YG3,% rCV,<  6 (Recommended)
All Channels,% Gain Change,<  100 (Recommended)

