DailyQCReport_S0205_20250115_151353


QC Status,PASSED,Date,"January 15, 2025 - 15:13 PM"
Cytometer Name,Aurora CS,User,CytekService
Serial Number,S0205,Nozzle Size,130
Configuration,5-Laser-V16-B14-R8-YG10-UV16,Nozzle Serial Number,K03188
Software,SpectroFloCS 1.4.0,Sheath Pressure,8

QC Beads
Lot ID,2006,Expiration date,"December 31, 2026"


Laser,Detector (nm),Gain,Gain Change,% Gain Change,Median (x1000), % rCV,Sensitivity
Detector Settings
Blue,FSC,422,0,0,1970.752,2.392711,2536.089
Violet,SSC,249,0,0,2057.465,10.66542,12426.06
Blue,SSC-B,362,0,0,1969.824,3.98028,14906.03
UV,UV1 (373),798,0,0,299.9215,5.686504,69.26463
UV,UV2 (388),389,0,0,1976.843,4.521111,613.115
UV,UV3 (428),270,0,0,1510.233,3.956309,2038.364
UV,UV4 (443),285,0,0,1208.273,3.957785,2540.738
UV,UV5 (458),284,0,0,1183.172,3.783942,3494.372
UV,UV6 (473),365,0,0,1499.927,3.511646,6166.372
UV,UV7 (514),532,0,0,1665.528,3.254398,8727.792
UV,UV8 (542),478,0,0,1016.735,3.189212,4409.173
UV,UV9 (582),636,0,0,1344.487,3.161697,4758.712
UV,UV10 (613),357,0,0,1221.521,3.052367,6276.957
UV,UV11 (664),459,0,0,576.248,3.122759,2230.915
UV,UV12 (692),390,0,0,484.504,2.971826,1229.88
UV,UV13 (720),564,0,0,537.261,2.891272,1285.681
UV,UV14 (750),912,0,0,642.666,3.065515,1625.193
UV,UV15 (780),693,0,0,601.3905,3.051785,1088.026
UV,UV16 (812),985,0,0,853.7165,3.721508,845.896
Violet,V1 (428),258,0,0,594.2915,3.344978,1525.103
Violet,V2 (443),336,0,0,1254.806,3.316551,3510.85
Violet,V3 (458),321,0,0,1358.236,3.304755,4064.335
Violet,V4 (473),210,0,0,1231.31,3.179479,3897.434
Violet,V5 (508),229,0,0,1062.779,3.120241,3845.098
Violet,V6 (525),222,0,0,755.548,3.055852,3017.686
Violet,V7 (542),296,0,0,884.8905,2.877944,3042.935
Violet,V8 (581),392,0,0,763.9645,2.562512,1836.604
Violet,V9 (598),345,0,0,763.1975,2.394454,1190.286
Violet,V10 (615),347,0,0,1152.406,2.338279,1135.303
Violet,V11 (664),276,0,0,512.429,2.302252,521.9822
Violet,V12 (692),259,0,0,449.4205,2.267441,278.8234
Violet,V13 (720),228,0,0,514.353,2.136809,193.3159
Violet,V14 (750),269,0,0,457.8435,2.17505,141.155
Violet,V15 (780),392,0,0,491.756,2.250841,98.78027
Violet,V16 (812),344,0,0,573.48,2.779603,37.56202
Blue,B1 (508),1379,0,0,141.336,2.775933,466.9856
Blue,B2 (525),825,0,0,177.8725,2.382743,543.7144
Blue,B3 (542),721,0,0,536.669,2.233839,1401.438
Blue,B4 (581),638,0,0,735.9705,1.944913,1626.201
Blue,B5 (598),575,0,0,876.4225,1.810694,1586.926
Blue,B6 (615),448,0,0,927.7365,1.813184,1202.051
Blue,B7 (661),922,0,0,565.455,1.809803,660.9882
Blue,B8 (679),664,0,0,489.6505,2.041856,675.4714
Blue,B9 (697),915,0,0,588.844,2.343976,559.7983
Blue,B10 (717),728,0,0,417.6295,2.540754,280.8081
Blue,B11 (738),437,0,0,274.5035,2.597117,175.7738
Blue,B12 (760),474,0,0,272.404,2.582807,139.6336
Blue,B13 (783),553,0,0,252.9545,2.728284,84.95908
Blue,B14 (812),853,0,0,550.1195,2.733164,88.08237
YellowGreen,YG1 (577),568,0,0,919.7445,1.909381,1497.571
YellowGreen,YG2 (598),576,0,0,1819.661,1.967584,1925.379
YellowGreen,YG3 (615),360,0,0,2673.176,1.984736,2204.897
YellowGreen,YG4 (661),737,0,0,1533.406,1.865387,1703.811
YellowGreen,YG5 (679),550,0,0,1346.333,2.020865,1461.843
YellowGreen,YG6 (697),714,0,0,1521.464,1.959516,791.6443
YellowGreen,YG7 (720),472,0,0,2072.61,2.023595,881.6615
YellowGreen,YG8 (750),462,0,0,1075.064,2.077532,460.199
YellowGreen,YG9 (780),528,0,0,1026.092,2.099347,286.5584
YellowGreen,YG10 (812),636,0,0,1205.485,2.446622,142.8777
Red,R1 (661),256,0,0,403.742,2.294435,1494.618
Red,R2 (679),249,0,0,1065.004,2.281534,2959.721
Red,R3 (697),441,0,0,1979.931,2.075991,2489.532
Red,R4 (717),374,0,0,1926.536,2.100291,1638.224
Red,R5 (738),224,0,0,1595.058,2.063378,1260.061
Red,R6 (760),244,0,0,1405.683,2.005428,1074.401
Red,R7 (783),482,0,0,1861.573,2.077804,763.7008
Red,R8 (812),261,0,0,2106.624,2.5361,341.8289


Laser Settings
Laser, Laser Delay, Area Scaling Factor
UV,-57.90,0.84
Red,-29.48,0.82
Blue,0.00,0.94
Violet,29.38,1.01
YellowGreen,57.33,0.94
FSC Area Scaling Factor,0.93,Window Extension,3
Temperature,26.5


Specifications
FSC,% rCV,<  6 (Recommended)
SSC-B,% rCV,<  8 (Recommended)
UV3,% rCV,<  6 (Recommended)
R3,% rCV,<  6 (Recommended)
B3,% rCV,<  6 (Recommended)
V3,% rCV,<  6 (Recommended)
YG3,% rCV,<  6 (Recommended)
All Channels,% Gain Change,<  100 (Recommended)

