DailyQCReport_S0205_20250115_200249


QC Status,PASSED,Date,"January 15, 2025 - 20:02 PM"
Cytometer Name,Aurora CS,User,CytekService
Serial Number,S0205,Nozzle Size,100
Configuration,5-Laser-V16-B14-R8-YG10-UV16,Nozzle Serial Number,K38006
Software,SpectroFloCS 1.4.0,Sheath Pressure,17.3

QC Beads
Lot ID,2006,Expiration date,"December 31, 2026"


Laser,Detector (nm),Gain,Gain Change,% Gain Change,Median (x1000), % rCV,Sensitivity
Detector Settings
Blue,FSC,422,0,0,1985.99,2.443,2541.632
Violet,SSC,240,0,0,2015.553,10.80231,13049.19
Blue,SSC-B,366,-5,-1.347709,2007.469,3.523864,16579.99
UV,UV1 (373),801,-15,-1.838235,302.832,4.002691,76.06809
UV,UV2 (388),394,-5,-1.253133,2018.97,3.274853,616.8065
UV,UV3 (428),272,-2,-0.729927,1534.813,2.824851,2038.809
UV,UV4 (443),289,-5,-1.70068,1229.192,2.912627,2740.849
UV,UV5 (458),286,-4,-1.37931,1203.172,2.719521,3516.853
UV,UV6 (473),371,-2,-0.5361931,1549.083,2.506858,6055.793
UV,UV7 (514),533,-2,-0.3738318,1710.481,2.365833,9041.809
UV,UV8 (542),479,-6,-1.237113,1036.168,2.318782,4606.728
UV,UV9 (582),636,-6,-0.9345794,1371.886,2.374611,5145.959
UV,UV10 (613),359,-7,-1.912568,1237.688,2.279531,6049.523
UV,UV11 (664),437,-10,-2.237136,583.826,2.345325,2478.596
UV,UV12 (692),384,-8,-2.040816,496.9295,2.276499,1316.589
UV,UV13 (720),563,-2,-0.3539823,546.549,2.340867,1404.824
UV,UV14 (750),913,1,0.1096491,659.7325,2.443768,1809.439
UV,UV15 (780),713,7,0.9915014,610.797,2.435751,1135.75
UV,UV16 (812),1254,104,9.043478,866.49,3.275942,844.9468
Violet,V1 (428),258,-4,-1.526718,596.6555,2.446419,1544.884
Violet,V2 (443),339,-1,-0.2941177,1274.17,2.383925,3453.257
Violet,V3 (458),322,-4,-1.226994,1379.723,2.407395,4201.058
Violet,V4 (473),208,-3,-1.421801,1230.576,2.333932,3976.8
Violet,V5 (508),229,-1,-0.4347826,1074.141,2.293074,3667.036
Violet,V6 (525),221,-2,-0.896861,758.155,2.309501,3145.783
Violet,V7 (542),295,-1,-0.3378378,900.139,2.231915,3185.457
Violet,V8 (581),384,-8,-2.040816,764.0985,2.175039,1823.809
Violet,V9 (598),344,-5,-1.432665,779.0055,2.099964,1313.357
Violet,V10 (615),344,-6,-1.714286,1164.273,2.118373,1174.433
Violet,V11 (664),256,-9,-3.396226,514.89,2.124371,502.1301
Violet,V12 (692),246,-6,-2.380952,453.961,2.073599,267.1407
Violet,V13 (720),222,-2,-0.8928572,521.5465,1.947765,196.7706
Violet,V14 (750),264,-1,-0.3773585,465.3965,2.010854,138.2721
Violet,V15 (780),402,7,1.772152,500.6445,2.182152,94.81577
Violet,V16 (812),457,47,11.46342,573.449,3.166981,37.59266
Blue,B1 (508),1370,-51,-3.589022,144.6815,2.543451,482.4255
Blue,B2 (525),805,-22,-2.660218,176.4265,2.047502,506.7013
Blue,B3 (542),704,-17,-2.357836,536.4115,1.881511,1319.167
Blue,B4 (581),623,-8,-1.267829,749.227,1.630468,1642.253
Blue,B5 (598),559,-17,-2.951389,872.8515,1.587133,1629.839
Blue,B6 (615),435,-11,-2.466368,929.1015,1.618458,1229.054
Blue,B7 (661),882,-15,-1.672241,570.228,1.587167,648.0264
Blue,B8 (679),613,-24,-3.767661,476.2935,1.914947,673.3128
Blue,B9 (697),889,-22,-2.414929,601.869,2.09292,539.1935
Blue,B10 (717),712,-5,-0.6973501,420.846,2.301747,289.7905
Blue,B11 (738),424,-6,-1.395349,275.483,2.355439,173.9879
Blue,B12 (760),467,-2,-0.4264393,274.0765,2.366504,145.1101
Blue,B13 (783),567,5,0.8896797,254.8615,2.501837,84.11724
Blue,B14 (812),1111,102,10.10902,551.5815,2.717468,95.42377
YellowGreen,YG1 (577),550,-8,-1.433692,919.698,1.749095,1580.123
YellowGreen,YG2 (598),577,-5,-0.8591065,1844.089,1.829406,2104.352
YellowGreen,YG3 (615),356,-4,-1.111111,2688.667,1.834868,2313.418
YellowGreen,YG4 (661),696,-26,-3.601108,1532.396,1.7049,1794.635
YellowGreen,YG5 (679),519,-14,-2.626642,1348.607,1.936272,1528.595
YellowGreen,YG6 (697),688,-2,-0.2898551,1524.401,1.803695,866.0967
YellowGreen,YG7 (720),462,-5,-1.070664,2085.781,1.85064,910.6507
YellowGreen,YG8 (750),456,0,0,1084.193,2.016975,472.4692
YellowGreen,YG9 (780),536,3,0.5628518,1036.911,2.022279,275.6962
YellowGreen,YG10 (812),805,73,9.972677,1217.891,2.42036,141.6096
Red,R1 (661),209,-13,-5.855856,413.522,1.840938,1506.147
Red,R2 (679),214,-14,-6.140351,1085.224,2.119678,2990.016
Red,R3 (697),414,-10,-2.358491,2029.328,1.652128,2612.941
Red,R4 (717),359,-8,-2.179837,1955.328,1.657714,1747.722
Red,R5 (738),217,-4,-1.809955,1633.688,1.58,1391.248
Red,R6 (760),239,-3,-1.239669,1441.648,1.518757,1070.064
Red,R7 (783),497,4,0.811359,1900.953,1.572891,758.772
Red,R8 (812),353,39,12.42038,2117.624,2.191608,321.4009


Laser Settings
Laser, Laser Delay, Area Scaling Factor
UV,-58.55,0.84
Red,-29.83,0.81
Blue,0.00,0.94
Violet,29.70,1.01
YellowGreen,58.03,0.94
FSC Area Scaling Factor,0.93,Window Extension,3
Temperature,42.6


Specifications
FSC,% rCV,<  6 (Recommended)
SSC-B,% rCV,<  8 (Recommended)
UV3,% rCV,<  6 (Recommended)
R3,% rCV,<  6 (Recommended)
B3,% rCV,<  6 (Recommended)
